request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Balance: IDR 42,146,065.00 (min required: IDR 14,433,900.00; headroom: IDR 27,712,165.00). Committed outflows next 30 days: IDR 19,215,394.78. Expected income next 30 days: IDR 49,304,065.40. Salary temporarily reduced to IDR 25,840,000.00/month per employer message. Decision: Full payment of IDR 16,226,000.00 is safe today. Balance remains above minimum throughout the 90-day forecast."
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Balance: INR 723,245.99 (min required: INR 132,600.00; headroom: INR 590,645.99). Committed outflows next 30 days: INR 123,045.41. Expected income next 30 days: INR 180,890.31. Decision: Full payment is not safe today (safe amount: INR 140,600.00). Installment plan: 2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33."
request_60,0.0,not_affordable,not_recommended,none,,none,"Balance: USD 683.69 (min required: USD 400.00; headroom: USD 283.69). Committed outflows next 30 days: USD 591.12. Expected income next 30 days: USD 516.94. Salary temporarily reduced to USD 530.40/month per employer message. Decision: Not affordable. Safe to pay only USD 0.00 today, and the full USD 199.89 does not become safe within the 90-day horizon."
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Balance: ZAR 147,470.23 (min required: ZAR 36,700.00; headroom: ZAR 110,770.23). Committed outflows next 30 days: ZAR 32,361.81. Expected income next 30 days: ZAR 49,686.80. Decision: Full payment is not safe today (safe amount: ZAR 29,062.00). Installment plan: 2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Balance: USD 5,151.44 (min required: USD 1,300.00; headroom: USD 3,851.44). Committed outflows next 30 days: USD 1,502.95. Expected income next 30 days: USD 1,605.77. Decision: Full payment of USD 404.23 is safe today. Balance remains above minimum throughout the 90-day forecast."
request_63,0.0,not_affordable,not_recommended,none,,none,"Balance: INR 251,795.00 (min required: INR 153,500.00; headroom: INR 98,295.00). Committed outflows next 30 days: INR 206,841.89. Expected income next 30 days: INR 192,272.40. Decision: Not affordable. Safe to pay only INR 0.00 today, and the full INR 343,900.00 does not become safe within the 90-day horizon."
request_64,0.0,not_affordable,not_recommended,none,,none,"Balance: INR 98,573.01 (min required: INR 36,100.00; headroom: INR 62,473.01). Committed outflows next 30 days: INR 138,187.16. Decision: Not affordable. Safe to pay only INR 0.00 today, and the full INR 63,700.00 does not become safe within the 90-day horizon."
request_65,4104.2,not_affordable,not_recommended,none,,none,"Balance: ZAR 28,524.00 (min required: ZAR 15,500.00; headroom: ZAR 13,024.00). Committed outflows next 30 days: ZAR 13,655.52. Expected income next 30 days: ZAR 28,654.78. Decision: Not affordable. Safe to pay only ZAR 4,104.20 today, and the full ZAR 54,340.00 does not become safe within the 90-day horizon."
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Balance: INR 302,520.00 (min required: INR 80,700.00; headroom: INR 221,820.00). Committed outflows next 30 days: INR 79,510.35. Expected income next 30 days: INR 103,428.16. Decision: Full payment of INR 22,200.00 is safe today. Balance remains above minimum throughout the 90-day forecast."
request_67,164.68,affordable_later,wait,2024-09-15:2094,2024-09-15,none,"Balance: USD 1,992.54 (min required: USD 1,200.00; headroom: USD 792.54). Committed outflows next 30 days: USD 1,617.89. Expected income next 30 days: USD 3,943.68. Decision: Cannot safely pay USD 2,094.00 today (safe amount now: USD 164.68). Full payment becomes safe on 2024-09-15."
request_68,752.13,not_affordable,not_recommended,none,,none,"Balance: USD 3,657.83 (min required: USD 1,500.00; headroom: USD 2,157.83). Committed outflows next 30 days: USD 2,609.41. Expected income next 30 days: USD 2,496.00. Next salary expected on 2025-02-23. Decision: Not affordable. Safe to pay only USD 752.13 today, and the full USD 2,091.60 does not become safe within the 90-day horizon."
request_69,122.79,not_affordable,not_recommended,none,,none,"Balance: EUR 1,639.50 (min required: EUR 700.00; headroom: EUR 939.50). Committed outflows next 30 days: EUR 1,251.05. Expected income next 30 days: EUR 1,177.00. Decision: Not affordable. Safe to pay only EUR 122.79 today, and the full EUR 529.10 does not become safe within the 90-day horizon."
request_70,29835.46,not_affordable,not_recommended,none,,none,"Balance: INR 208,360.00 (min required: INR 115,000.00; headroom: INR 93,360.00). Committed outflows next 30 days: INR 164,322.43. Expected income next 30 days: INR 203,000.00. Decision: Not affordable. Safe to pay only INR 29,835.46 today, and the full INR 243,900.00 does not become safe within the 90-day horizon."
request_71,0.0,not_affordable,not_recommended,none,,none,"Balance: IDR 16,369,850.00 (min required: IDR 8,884,800.00; headroom: IDR 7,485,050.00). Committed outflows next 30 days: IDR 12,343,696.83. Salary temporarily reduced to IDR 696.00/month per employer message. Next salary expected on 2025-05-15. Decision: Not affordable. Safe to pay only IDR 0.00 today, and the full IDR 21,451,000.00 does not become safe within the 90-day horizon."
request_72,2921.65,not_affordable,not_recommended,none,,none,"Balance: ZAR 30,337.13 (min required: ZAR 12,200.00; headroom: ZAR 18,137.13). Committed outflows next 30 days: ZAR 18,634.25. Expected income next 30 days: ZAR 17,908.20. Salary temporarily reduced to ZAR 18,700.00/month per employer message. Next salary expected on 2026-07-15. Decision: Not affordable. Safe to pay only ZAR 2,921.65 today, and the full ZAR 11,330.00 does not become safe within the 90-day horizon."
request_73,49259.44,not_affordable,not_recommended,none,,none,"Balance: INR 278,542.50 (min required: INR 103,200.00; headroom: INR 175,342.50). Committed outflows next 30 days: INR 126,618.01. Expected income next 30 days: INR 129,360.30. Decision: Not affordable. Safe to pay only INR 49,259.44 today, and the full INR 71,400.00 does not become safe within the 90-day horizon."
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Balance: ZAR 70,056.90 (min required: ZAR 21,900.00; headroom: ZAR 48,156.90). Committed outflows next 30 days: ZAR 18,456.64. Expected income next 30 days: ZAR 19,877.49. Decision: Full payment of ZAR 5,010.00 is safe today. Balance remains above minimum throughout the 90-day forecast."
request_75,28270.0,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Balance: ZAR 145,867.87 (min required: ZAR 39,000.00; headroom: ZAR 106,867.87). Committed outflows next 30 days: ZAR 35,011.81. Expected income next 30 days: ZAR 50,820.00. Decision: Full payment is not safe today (safe amount: ZAR 28,270.00). Installment plan: 2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27."
request_76,744.82,not_affordable,not_recommended,none,,none,"Balance: USD 3,338.80 (min required: USD 1,800.00; headroom: USD 1,538.80). Committed outflows next 30 days: USD 2,082.19. Expected income next 30 days: USD 5,722.20. Salary temporarily reduced to USD 3,072.00/month per employer message. Decision: Not affordable. Safe to pay only USD 744.82 today, and the full USD 4,455.60 does not become safe within the 90-day horizon."
request_77,45269.35,not_affordable,not_recommended,none,,none,"Balance: INR 189,860.50 (min required: INR 82,200.00; headroom: INR 107,660.50). Committed outflows next 30 days: INR 108,268.85. Expected income next 30 days: INR 111,000.00. Decision: Not affordable. Safe to pay only INR 45,269.35 today, and the full INR 60,700.00 does not become safe within the 90-day horizon."
request_78,24859.95,not_affordable,not_recommended,none,,none,"Balance: INR 156,676.00 (min required: INR 55,200.00; headroom: INR 101,476.00). Committed outflows next 30 days: INR 90,387.16. Expected income next 30 days: INR 83,214.82. Decision: Not affordable. Safe to pay only INR 24,859.95 today, and the full INR 50,200.00 does not become safe within the 90-day horizon."
request_79,40.01,not_affordable,not_recommended,none,,none,"Balance: EUR 2,104.08 (min required: EUR 1,000.00; headroom: EUR 1,104.08). Committed outflows next 30 days: EUR 1,463.69. Expected income next 30 days: EUR 2,684.29. Decision: Not affordable. Safe to pay only EUR 40.01 today, and the full EUR 2,151.60 does not become safe within the 90-day horizon."
request_80,91827.0,not_affordable,not_recommended,none,,none,"Balance: INR 280,125.00 (min required: INR 121,300.00; headroom: INR 158,825.00). Committed outflows next 30 days: INR 196,501.21. Expected income next 30 days: INR 316,000.00. Salary temporarily reduced to INR 158,000.00/month per employer message. Decision: Not affordable. Safe to pay only INR 91,827.00 today, and the full INR 217,500.00 does not become safe within the 90-day horizon."
request_81,1058.08,not_affordable,not_recommended,none,,none,"Balance: USD 5,028.25 (min required: USD 1,600.00; headroom: USD 3,428.25). Committed outflows next 30 days: USD 3,190.56. Expected income next 30 days: USD 2,630.13. Decision: Not affordable. Safe to pay only USD 1,058.08 today, and the full USD 2,076.00 does not become safe within the 90-day horizon."
request_82,197.26,affordable_later,wait,2025-01-15:1405.20,2025-01-15,none,"Balance: USD 2,202.40 (min required: USD 1,100.00; headroom: USD 1,102.40). Committed outflows next 30 days: USD 1,654.04. Expected income next 30 days: USD 2,412.04. Decision: Cannot safely pay USD 1,405.20 today (safe amount now: USD 197.26). Full payment becomes safe on 2025-01-15."
request_83,1225.19,not_affordable,not_recommended,none,,none,"Balance: INR 68,930.00 (min required: INR 37,800.00; headroom: INR 31,130.00). Committed outflows next 30 days: INR 50,466.42. Expected income next 30 days: INR 62,000.00. Salary temporarily reduced to INR 62,000.00/month per employer message. Next salary expected on 2025-05-15. Decision: Not affordable. Safe to pay only INR 1,225.19 today, and the full INR 156,200.00 does not become safe within the 90-day horizon."
request_84,0.0,not_affordable,not_recommended,none,,none,"Balance: INR 153,945.00 (min required: INR 91,300.00; headroom: INR 62,645.00). Committed outflows next 30 days: INR 116,196.49. Decision: Not affordable. Safe to pay only INR 0.00 today, and the full INR 95,400.00 does not become safe within the 90-day horizon."
request_85,0.0,not_affordable,not_recommended,none,,none,"Balance: IDR 8,818,420.00 (min required: IDR 6,396,300.00; headroom: IDR 2,422,120.00). Committed outflows next 30 days: IDR 7,404,029.90. Expected income next 30 days: IDR 8,299,931.58. Decision: Not affordable. Safe to pay only IDR 0.00 today, and the full IDR 19,304,000.00 does not become safe within the 90-day horizon."
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Balance: INR 228,639.50 (min required: INR 84,900.00; headroom: INR 143,739.50). Committed outflows next 30 days: INR 81,505.72. Expected income next 30 days: INR 234,199.18. Decision: Full payment of INR 46,300.00 is safe today. Balance remains above minimum throughout the 90-day forecast."
request_87,0.0,not_affordable,not_recommended,none,,none,"Balance: INR 278,750.00 (min required: INR 185,900.00; headroom: INR 92,850.00). Committed outflows next 30 days: INR 261,056.72. Expected income next 30 days: INR 246,060.64. Salary temporarily reduced to INR 251,000.00/month per employer message. Next salary expected on 2026-01-15. Decision: Not affordable. Safe to pay only INR 0.00 today, and the full INR 487,900.00 does not become safe within the 90-day horizon."
request_88,7092.82,not_affordable,not_recommended,none,,none,"Balance: ZAR 41,357.89 (min required: ZAR 25,800.00; headroom: ZAR 15,557.89). Committed outflows next 30 days: ZAR 24,310.52. Expected income next 30 days: ZAR 33,810.58. Decision: Not affordable. Safe to pay only ZAR 7,092.82 today, and the full ZAR 26,092.00 does not become safe within the 90-day horizon."
request_89,6719895.14,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,"Balance: IDR 27,331,862.01 (min required: IDR 12,534,700.00; headroom: IDR 14,797,162.01). Committed outflows next 30 days: IDR 14,973,067.95. Expected income next 30 days: IDR 28,702,357.64. Decision: Full payment is not safe today (safe amount: IDR 6,719,895.14). Installment plan: 2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Balance: ZAR 31,629.50 (min required: ZAR 7,600.00; headroom: ZAR 24,029.50). Committed outflows next 30 days: ZAR 7,773.24. Expected income next 30 days: ZAR 8,788.76. Decision: Full payment of ZAR 2,560.00 is safe today. Balance remains above minimum throughout the 90-day forecast."
request_91,0.0,not_affordable,not_recommended,none,,none,"Balance: EUR 4,209.60 (min required: EUR 2,100.00; headroom: EUR 2,109.60). Committed outflows next 30 days: EUR 2,661.70. Expected income next 30 days: EUR 2,291.00. Decision: Not affordable. Safe to pay only EUR 0.00 today, and the full EUR 1,927.20 does not become safe within the 90-day horizon."
request_92,33486.1,affordable_with_plan,full_payment,2025-02-05:34034,2025-02-15,reduce_to:event_8662:1369.34,"Balance: ZAR 78,664.47 (min required: ZAR 28,100.00; headroom: ZAR 50,564.47). Committed outflows next 30 days: ZAR 35,963.83. Expected income next 30 days: ZAR 93,517.24. Salary temporarily reduced to ZAR 49,280.00/month per employer message. Decision: Affordable with plan. Payment plan: 2025-02-05:34034. Spending changes required to cover shortfall (saves ZAR 547.90/month)."
request_93,1668.28,affordable_with_plan,full_payment,2026-04-07:1729.20,2026-04-15,stop:event_8691|reduce_to:event_8730:95.01,"Balance: USD 3,962.10 (min required: USD 1,900.00; headroom: USD 2,062.10). Committed outflows next 30 days: USD 1,753.32. Expected income next 30 days: USD 2,256.99. Decision: Affordable with plan. Payment plan: 2026-04-07:1729.20. Spending changes required to cover shortfall (saves USD 60.92/month)."
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,"Balance: EUR 2,663.60 (min required: EUR 600.00; headroom: EUR 2,063.60). Committed outflows next 30 days: EUR 754.34. Expected income next 30 days: EUR 895.60. Decision: Full payment of EUR 572.00 is safe today. Balance remains above minimum throughout the 90-day forecast."
request_95,132.42,not_affordable,not_recommended,none,,none,"Balance: INR 283,365.00 (min required: INR 145,500.00; headroom: INR 137,865.00). Committed outflows next 30 days: INR 233,587.52. Expected income next 30 days: INR 251,000.00. Next salary expected on 2025-05-23. Decision: Not affordable. Safe to pay only INR 132.42 today, and the full INR 553,000.00 does not become safe within the 90-day horizon."
request_96,72469.23,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-15,none,"Balance: INR 161,635.49 (min required: INR 56,500.00; headroom: INR 105,135.49). Committed outflows next 30 days: INR 85,420.21. Expected income next 30 days: INR 158,264.02. Decision: Full payment is not safe today (safe amount: INR 72,469.23). Installment plan: 2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33."
request_97,0.0,not_affordable,not_recommended,none,,none,"Balance: ZAR 38,565.89 (min required: ZAR 29,700.00; headroom: ZAR 8,865.89). Committed outflows next 30 days: ZAR 27,958.43. Expected income next 30 days: ZAR 70,840.00. Decision: Not affordable. Safe to pay only ZAR 0.00 today, and the full ZAR 23,496.00 does not become safe within the 90-day horizon."
request_98,0.0,not_affordable,not_recommended,none,,none,"Balance: ZAR 47,244.70 (min required: ZAR 30,000.00; headroom: ZAR 17,244.70). Committed outflows next 30 days: ZAR 33,607.77. Expected income next 30 days: ZAR 559.16. Salary temporarily reduced to ZAR 1,804.00/month per employer message. Next salary expected on 2025-08-15. Decision: Not affordable. Safe to pay only ZAR 0.00 today, and the full ZAR 27,148.00 does not become safe within the 90-day horizon."
request_99,11164.77,not_affordable,not_recommended,none,,none,"Balance: ZAR 86,706.58 (min required: ZAR 49,100.00; headroom: ZAR 37,606.58). Committed outflows next 30 days: ZAR 37,021.92. Expected income next 30 days: ZAR 99,125.21. Decision: Not affordable. Safe to pay only ZAR 11,164.77 today, and the full ZAR 18,062.00 does not become safe within the 90-day horizon."
